symbol,symbolName,lastPrice,priceChange,percentChange,highPrice,lowPrice,volume,tradeTime,symbolCode,hasOptions,symbolType,raw
"CSGP","Costar Group Inc","77.38","+3.36","+4.54%","77.78","75.42","1,598,300","11/03/23","STK","Yes","1","[object Object]"
"CSX","CSX Corp","30.40","+0.01","+0.03%","30.69","30.27","9,469,200","11/03/23","STK","Yes","1","[object Object]"
"CTAS","Cintas Corp","518.45","+7.36","+1.44%","520.97","513.54","293,600","11/03/23","STK","Yes","1","[object Object]"
"CTSH","Cognizant Tech Sol","66.27","+2.62","+4.12%","66.92","64.05","3,849,700","11/03/23","STK","Yes","1","[object Object]"
"DDOG","Datadog Inc Cl A","82.04","+2.80","+3.53%","83.05","79.00","5,744,600","11/03/23","STK","Yes","1","[object Object]"
"DLTR","Dollar Tree Inc","116.35","+2.34","+2.05%","117.64","114.99","2,754,900","11/03/23","STK","Yes","1","[object Object]"
"DXCM","Dexcom Inc","97.46","+3.79","+4.05%","99.01","96.07","5,092,300","11/03/23","STK","Yes","1","[object Object]"
"EA","Electronic Arts Inc","129.59","+1.31","+1.02%","129.76","126.76","2,642,100","11/03/23","STK","Yes","1","[object Object]"
"EBAY","Ebay Inc","40.54","+1.55","+3.98%","40.72","39.51","6,422,000","11/03/23","STK","Yes","1","[object Object]"
"ENPH","Enphase Energy Inc","80.81","+1.89","+2.39%","83.54","79.00","6,112,900","11/03/23","STK","Yes","1","[object Object]"
"EXC","Exelon Corp","40.56","-0.14","-0.34%","41.48","40.54","5,902,900","11/03/23","STK","Yes","1","[object Object]"
