symbol,symbolName,lastPrice,priceChange,percentChange,openPrice,highPrice,lowPrice,volume,tradeTime,symbolCode,hasOptions,symbolType,raw
"SFNC","Simmons First Natl","15.71","+0.57","+3.76%","15.64","16.08","15.60","573,000","11/03/23","STK","Yes","1","[object Object]"
"SFST","Southern First Bancs","28.74","+0.92","+3.31%","28.45","28.97","27.50","16,100","11/03/23","STK","Yes","1","[object Object]"
"SG","Sweetgreen Inc Cl A","9.73","-1.34","-12.10%","10.90","11.12","9.49","3,929,100","11/03/23","STK","Yes","1","[object Object]"
"SGH","Smart Global Holdings Inc","14.64","+1.02","+7.49%","13.70","14.73","13.65","862,300","11/03/23","STK","Yes","1","[object Object]"
"SGHC","Super Group [Sghc] Ltd","3.83","+0.05","+1.32%","3.83","3.84","3.66","427,800","11/03/23","STK","Yes","1","[object Object]"
"SGHT","Sight Sciences Inc","1.8200","+0.1100","+6.43%","1.7400","1.8600","1.7000","459,500","11/03/23","STK","Yes","1","[object Object]"
"SGMO","Sangamo Therapeutics","0.4600","unch","unch","0.4600","0.4905","0.4550","1,979,300","11/03/23","STK","Yes","1","[object Object]"
"SGMT","Sagimet Biosciences Inc Series A","4.08","+0.28","+7.37%","4.22","4.58","3.94","126,500","11/03/23","STK","No","1","[object Object]"
"SGRY","Surgery Partners CS","24.89","+1.00","+4.19%","24.66","25.60","24.60","1,652,700","11/03/23","STK","Yes","1","[object Object]"
"SHAK","Shake Shack Inc","59.51","+3.04","+5.38%","56.63","60.28","56.24","1,265,200","11/03/23","STK","Yes","1","[object Object]"
"SHBI","Shore Bancshares Inc","11.82","+0.96","+8.84%","11.16","11.92","11.16","102,500","11/03/23","STK","Yes","1","[object Object]"
"SHCR","Sharecare Inc Cl A","1.1400","+0.0600","+5.56%","1.0900","1.1600","1.0900","557,900","11/03/23","STK","Yes","1","[object Object]"
"SHEN","Shenandoah Telecom","24.74","+0.61","+2.53%","24.69","25.51","23.79","156,100","11/03/23","STK","Yes","1","[object Object]"
"SHLS","Shoals Technologies Group Cl A","15.85","+0.48","+3.12%","15.91","16.37","15.69","2,325,000","11/03/23","STK","Yes","1","[object Object]"
"SHO","Sunstone Hotel Investors","9.79","+0.19","+1.98%","9.76","9.90","9.69","3,896,600","11/03/23","STK","Yes","1","[object Object]"
"SHOO","Steven Maddens Ltd","34.70","+0.92","+2.72%","34.50","35.13","34.13","651,200","11/03/23","STK","Yes","1","[object Object]"
"SHYF","The Shyft Group Inc","11.38","+0.08","+0.71%","11.51","11.80","11.32","733,500","11/03/23","STK","Yes","1","[object Object]"
"SIBN","Si-Bone Inc","17.97","+0.47","+2.69%","17.78","18.29","17.76","476,000","11/03/23","STK","Yes","1","[object Object]"
"SIG","Signet Jewelers Ltd","75.81","+5.50","+7.82%","71.50","76.52","71.50","917,700","11/03/23","STK","Yes","1","[object Object]"
"SIGA","Siga Technologies Inc","5.12","+0.23","+4.70%","4.97","5.17","4.93","324,900","11/03/23","STK","Yes","1","[object Object]"
"SIGI","Selective Ins Group","103.61","-1.74","-1.65%","106.74","106.74","103.35","341,000","11/03/23","STK","Yes","1","[object Object]"
"SILK","Silk Road Medical Inc","8.76","+0.48","+5.80%","8.42","8.91","8.36","1,052,800","11/03/23","STK","Yes","1","[object Object]"
"SITC","Site Centers Corp","12.75","+0.32","+2.57%","12.69","12.91","12.63","1,769,200","11/03/23","STK","Yes","1","[object Object]"
"SITM","Sitime Corp","112.11","+3.79","+3.50%","110.21","114.64","109.67","228,000","11/03/23","STK","Yes","1","[object Object]"
"SIX","Six Flags Entertainment Corp","23.99","+1.63","+7.29%","23.22","24.55","23.16","6,098,700","11/03/23","STK","Yes","1","[object Object]"
"SJW","SJW Corp","65.00","+1.34","+2.10%","64.49","66.09","63.81","150,700","11/03/23","STK","Yes","1","[object Object]"
"SKIL","Skillsoft Corp","18.58","+0.03","+0.16%","18.64","19.53","18.10","22,600","11/03/23","STK","Yes","1","[object Object]"
"SKIN","The Beauty Health Co.","4.38","+0.41","+10.33%","4.07","4.56","4.05","6,372,200","11/03/23","STK","Yes","1","[object Object]"
"SKT","Tanger Factory Outlet Centers","23.92","+0.49","+2.09%","23.90","24.18","23.74","736,100","11/03/23","STK","Yes","1","[object Object]"
"SKWD","Skyward Specialty Insurance Group Inc","27.92","-0.01","-0.04%","28.07","28.19","27.79","351,300","11/03/23","STK","No","1","[object Object]"
"SKY","Skyline Corp","59.49","+3.78","+6.79%","57.54","60.51","56.25","622,600","11/03/23","STK","Yes","1","[object Object]"
"SKYT","Skywater Technology Inc","5.59","+0.33","+6.27%","5.39","5.69","5.39","238,100","11/03/23","STK","Yes","1","[object Object]"
"SKYW","Skywest Inc","44.51","+0.75","+1.71%","44.60","45.16","44.31","300,300","11/03/23","STK","Yes","1","[object Object]"
"SKYX","Skyx Platforms Corp","1.6800","+0.0300","+1.82%","1.6600","1.7400","1.6000","234,100","11/03/23","STK","Yes","1","[object Object]"
"SLAB","Silicon Labs Inc","91.54","+3.27","+3.70%","89.77","94.80","89.51","711,200","11/03/23","STK","Yes","1","[object Object]"
"SLCA","U.S. Silica Holdings Inc","11.95","-0.19","-1.57%","11.81","12.41","11.50","1,155,600","11/03/23","STK","Yes","1","[object Object]"
"SLDP","Solid Power Inc Cl A","1.4000","-0.0300","-2.10%","1.4500","1.5200","1.3900","2,855,900","11/03/23","STK","Yes","1","[object Object]"
"SLG","SL Green Realty Corp","34.40","+1.44","+4.37%","33.90","35.86","33.67","3,733,900","11/03/23","STK","Yes","1","[object Object]"
"SLGC","Somalogic Inc","2.26","+0.04","+1.80%","2.31","2.41","2.23","1,681,700","11/03/23","STK","Yes","1","[object Object]"
"SLP","Simulations Plus Inc","36.49","+1.62","+4.65%","34.97","36.82","34.72","155,900","11/03/23","STK","Yes","1","[object Object]"
